team1,team2,score1,score2,odds1,odds2,datetime,notes
Miami Marlins,Washington Nationals,2,3,+142,-159,19 Sep 2014 23:10,
Tampa Bay Rays,Chicago White Sox,3,4,-133,+118,19 Sep 2014 23:10,
Baltimore Orioles,Boston Red Sox,3,5,-154,+136,19 Sep 2014 23:05,
New York Yankees,Toronto Blue Jays,5,3,-147,+129,19 Sep 2014 23:05,
Pittsburgh Pirates,Milwaukee Brewers,4,2,-122,+108,19 Sep 2014 23:05,
Chicago Cubs,Los Angeles Dodgers,5,14,+294,-357,19 Sep 2014 18:20,
Los Angeles Angels,Seattle Mariners,1,3,+231,-263,19 Sep 2014 02:05,
San Diego Padres,Philadelphia Phillies,7,3,-159,+141,19 Sep 2014 01:10,
Colorado Rockies,Arizona Diamondbacks,7,6,-122,+108,19 Sep 2014 00:40,
St.Louis Cardinals,Milwaukee Brewers,3,2,-135,+120,19 Sep 2014 00:15,
Houston Astros,Cleveland Indians,1,2,+124,-139,19 Sep 2014 00:10,
Chicago Cubs,Los Angeles Dodgers,4,8,+173,-192,19 Sep 2014 00:05,
Miami Marlins,Washington Nationals,2,6,+141,-159,18 Sep 2014 23:10,
New York Yankees,Toronto Blue Jays,3,2,-127,+112,18 Sep 2014 23:05,
Pittsburgh Pirates,Boston Red Sox,3,2,-238,+204,18 Sep 2014 23:05,
Oakland Athletics,Texas Rangers,2,7,-294,+250,18 Sep 2014 19:35,
San Diego Padres,Philadelphia Phillies,2,5,+129,-145,18 Sep 2014 02:10,
Los Angeles Angels,Seattle Mariners,5,0,-115,+102,18 Sep 2014 02:05,
Oakland Athletics,Texas Rangers,1,6,-196,+175,18 Sep 2014 02:05,
St.Louis Cardinals,Milwaukee Brewers,2,0,-154,+136,18 Sep 2014 00:15,
Houston Astros,Cleveland Indians,0,2,+112,-127,18 Sep 2014 00:10,
Kansas City Royals,Chicago White Sox,6,2,-111,-101,18 Sep 2014 00:10,
Minnesota Twins,Detroit Tigers,8,4,+158,-179,18 Sep 2014 00:10,
Chicago Cubs,Cincinnati Reds,3,1,-189,+169,18 Sep 2014 00:05,
Atlanta Braves,Washington Nationals,3,1,-189,+167,17 Sep 2014 23:10,
New York Mets,Miami Marlins,3,4,-132,+116,17 Sep 2014 23:10,
Tampa Bay Rays,New York Yankees,2,3,-145,+127,17 Sep 2014 23:10,
Baltimore Orioles,Toronto Blue Jays,6,1,-130,+114,17 Sep 2014 23:05,
Pittsburgh Pirates,Boston Red Sox,9,1,-167,+149,17 Sep 2014 23:05,
Arizona Diamondbacks,San Francisco Giants,2,4,+167,-189,17 Sep 2014 19:40,
Colorado Rockies,Los Angeles Dodgers,16,2,-109,-103,17 Sep 2014 19:10,
San Diego Padres,Philadelphia Phillies,5,4,-133,+118,17 Sep 2014 02:10,
Los Angeles Angels,Seattle Mariners,2,13,-147,+129,17 Sep 2014 02:05,
Oakland Athletics,Texas Rangers,3,6,-256,+220,17 Sep 2014 02:05,
Arizona Diamondbacks,San Francisco Giants,1,2,+108,-122,17 Sep 2014 01:40,
Colorado Rockies,Los Angeles Dodgers,10,4,+114,-128,17 Sep 2014 00:40,
St.Louis Cardinals,Milwaukee Brewers,2,3,-152,+136,17 Sep 2014 00:15,
Houston Astros,Cleveland Indians,2,4,+154,-172,17 Sep 2014 00:10,
Kansas City Royals,Chicago White Sox,5,7,-185,+162,17 Sep 2014 00:10,
Minnesota Twins,Detroit Tigers,4,3,+118,-133,17 Sep 2014 00:10,
Chicago Cubs,Cincinnati Reds,7,0,+100,-114,17 Sep 2014 00:05,
Atlanta Braves,Washington Nationals,0,3,+112,-127,16 Sep 2014 23:10,
New York Mets,Miami Marlins,9,1,-141,+123,16 Sep 2014 23:10,
Tampa Bay Rays,New York Yankees,6,1,-130,+116,16 Sep 2014 23:10,
Baltimore Orioles,Toronto Blue Jays,8,2,-104,-109,16 Sep 2014 23:05,
Pittsburgh Pirates,Boston Red Sox,4,0,-185,+166,16 Sep 2014 23:05,
San Diego Padres,Philadelphia Phillies,1,0,-175,+154,16 Sep 2014 02:10,
Los Angeles Angels,Seattle Mariners,8,1,-111,-103,16 Sep 2014 02:05,
Arizona Diamondbacks,San Francisco Giants,6,2,-105,-109,16 Sep 2014 01:40,
Colorado Rockies,Los Angeles Dodgers,3,11,+114,-128,16 Sep 2014 00:40,
Houston Astros,Cleveland Indians,3,1,-120,+106,16 Sep 2014 00:10,
Kansas City Royals,Chicago White Sox,4,3,-244,+206,16 Sep 2014 00:10,
Minnesota Twins,Detroit Tigers,6,8,+159,-182,16 Sep 2014 00:10,
Chicago Cubs,Cincinnati Reds,1,0,-125,+108,16 Sep 2014 00:05,
Atlanta Braves,Washington Nationals,2,4,+124,-141,15 Sep 2014 23:10,
New York Mets,Miami Marlins,5,6,-156,+137,15 Sep 2014 23:10,
Tampa Bay Rays,New York Yankees,1,0,-108,-103,15 Sep 2014 23:10,
Baltimore Orioles,Toronto Blue Jays,5,2,-120,+104,15 Sep 2014 23:05,
Baltimore Orioles,New York Yankees,3,2,-127,+112,15 Sep 2014 00:00,
Arizona Diamondbacks,San Diego Padres,8,6,-120,+104,14 Sep 2014 20:10,
Seattle Mariners,Oakland Athletics,0,4,+139,-156,14 Sep 2014 20:10,
San Francisco Giants,Los Angeles Dodgers,2,4,+159,-182,14 Sep 2014 20:05,
Los Angeles Angels,Houston Astros,1,6,-167,+148,14 Sep 2014 19:35,
Texas Rangers,Atlanta Braves,10,3,+119,-133,14 Sep 2014 19:05,
St.Louis Cardinals,Colorado Rockies,4,1,-192,+168,14 Sep 2014 18:15,
Chicago White Sox,Minnesota Twins,4,6,-128,+112,14 Sep 2014 18:10,
Kansas City Royals,Boston Red Sox,4,8,-172,+150,14 Sep 2014 18:10,
Milwaukee Brewers,Cincinnati Reds,9,2,-156,+139,14 Sep 2014 18:10,
Philadelphia Phillies,Miami Marlins,4,5,-106,-106,14 Sep 2014 17:35,
Pittsburgh Pirates,Chicago Cubs,7,3,-208,+184,14 Sep 2014 17:35,
New York Mets,Washington Nationals,0,3,+145,-164,14 Sep 2014 17:10,
Detroit Tigers,Cleveland Indians,6,4,-143,+127,14 Sep 2014 17:08,
Toronto Blue Jays,Tampa Bay Rays,5,6,-125,+110,14 Sep 2014 17:07,
Seattle Mariners,Oakland Athletics,2,3,-152,+134,14 Sep 2014 01:10,
Los Angeles Angels,Houston Astros,5,2,-244,+206,14 Sep 2014 01:05,
San Francisco Giants,Los Angeles Dodgers,0,17,+100,-115,14 Sep 2014 01:05,
Arizona Diamondbacks,San Diego Padres,10,4,+100,-114,14 Sep 2014 00:10,
St.Louis Cardinals,Colorado Rockies,5,4,-204,+175,13 Sep 2014 23:15,
Kansas City Royals,Boston Red Sox,7,1,-141,+125,13 Sep 2014 23:10,
New York Mets,Washington Nationals,3,10,+122,-139,13 Sep 2014 23:10,
Milwaukee Brewers,Cincinnati Reds,1,5,-208,+183,13 Sep 2014 23:10,
Detroit Tigers,Cleveland Indians,5,4,-115,+100,13 Sep 2014 23:08,
Philadelphia Phillies,Miami Marlins,2,1,-125,+110,13 Sep 2014 23:05,
Pittsburgh Pirates,Chicago Cubs,4,6,-217,+191,13 Sep 2014 23:05,
Chicago White Sox,Minnesota Twins,7,6,-122,+106,13 Sep 2014 22:10,
Chicago White Sox,Minnesota Twins,5,1,-112,+100,13 Sep 2014 20:10,
Toronto Blue Jays,Tampa Bay Rays,6,3,-135,+119,13 Sep 2014 17:07,
Baltimore Orioles,New York Yankees,2,3,-135,+119,13 Sep 2014 17:05,
Texas Rangers,Atlanta Braves,3,2,+147,-169,13 Sep 2014 17:05,
San Francisco Giants,Los Angeles Dodgers,9,0,-118,+104,13 Sep 2014 02:15,
Seattle Mariners,Oakland Athletics,4,2,-139,+123,13 Sep 2014 02:10,
Los Angeles Angels,Houston Astros,11,3,-185,+163,13 Sep 2014 02:05,
Arizona Diamondbacks,San Diego Padres,5,6,-130,+114,13 Sep 2014 01:40,
St.Louis Cardinals,Colorado Rockies,5,1,-238,+206,13 Sep 2014 00:15,
Kansas City Royals,Boston Red Sox,2,4,-196,+172,13 Sep 2014 00:10,
Milwaukee Brewers,Cincinnati Reds,3,2,-185,+165,13 Sep 2014 00:10,
Texas Rangers,Atlanta Braves,2,1,+112,-128,13 Sep 2014 00:05,
New York Mets,Washington Nationals,4,3,+133,-149,12 Sep 2014 23:10,
Detroit Tigers,Cleveland Indians,7,2,-159,+140,12 Sep 2014 23:08,
Toronto Blue Jays,Tampa Bay Rays,0,1,-137,+120,12 Sep 2014 23:07,
Baltimore Orioles,New York Yankees,5,0,-161,+146,12 Sep 2014 23:05,
Philadelphia Phillies,Miami Marlins,3,1,-159,+140,12 Sep 2014 23:05,
Pittsburgh Pirates,Chicago Cubs,7,3,-227,+194,12 Sep 2014 23:05,
Baltimore Orioles,New York Yankees,2,1,-120,+104,12 Sep 2014 17:05,
Kansas City Royals,Boston Red Sox,3,6,-127,+112,12 Sep 2014 00:10,
Milwaukee Brewers,Miami Marlins,4,2,-161,+142,12 Sep 2014 00:10,
Texas Rangers,Los Angeles Angels,3,7,+170,-192,12 Sep 2014 00:05,
New York Mets,Washington Nationals,2,6,+108,-123,11 Sep 2014 23:10,
New York Yankees,Tampa Bay Rays,5,4,-106,-108,11 Sep 2014 23:05,
Philadelphia Phillies,Pittsburgh Pirates,1,4,+129,-145,11 Sep 2014 23:05,
San Francisco Giants,Arizona Diamondbacks,6,2,-200,+175,11 Sep 2014 19:45,
Chicago White Sox,Oakland Athletics,1,0,-133,+118,11 Sep 2014 18:10,
Cleveland Indians,Minnesota Twins,2,0,-159,+141,11 Sep 2014 18:05,
Cincinnati Reds,St.Louis Cardinals,1,0,-114,+100,11 Sep 2014 16:35,
Cleveland Indians,Minnesota Twins,8,2,-179,+167,11 Sep 2014 16:05,
San Francisco Giants,Arizona Diamondbacks,5,0,-159,+139,11 Sep 2014 02:15,
Los Angeles Dodgers,San Diego Padres,4,0,-159,+139,11 Sep 2014 02:10,
Seattle Mariners,Houston Astros,2,5,-250,+215,11 Sep 2014 02:10,
Chicago White Sox,Oakland Athletics,2,1,+185,-213,11 Sep 2014 00:10,
Milwaukee Brewers,Miami Marlins,4,1,-123,+108,11 Sep 2014 00:10,
Texas Rangers,Los Angeles Angels,1,8,+167,-189,11 Sep 2014 00:05,
Cincinnati Reds,St.Louis Cardinals,4,2,+123,-139,10 Sep 2014 23:10,
New York Mets,Colorado Rockies,2,0,-125,+108,10 Sep 2014 23:10,
Detroit Tigers,Kansas City Royals,0,3,-114,+100,10 Sep 2014 23:08,
Toronto Blue Jays,Chicago Cubs,11,1,-182,+160,10 Sep 2014 23:07,
New York Yankees,Tampa Bay Rays,8,5,-110,-104,10 Sep 2014 23:05,
Philadelphia Phillies,Pittsburgh Pirates,3,6,+131,-149,10 Sep 2014 23:05,
Washington Nationals,Atlanta Braves,2,6,-192,+169,10 Sep 2014 20:05,
Boston Red Sox,Baltimore Orioles,6,10,+124,-139,10 Sep 2014 17:35,
San Francisco Giants,Arizona Diamondbacks,5,1,-167,+147,10 Sep 2014 02:15,
Los Angeles Dodgers,San Diego Padres,3,6,-125,+110,10 Sep 2014 02:10,
Seattle Mariners,Houston Astros,1,2,-149,+131,10 Sep 2014 02:10,
Chicago White Sox,Oakland Athletics,2,11,+175,-200,10 Sep 2014 00:10,
Milwaukee Brewers,Miami Marlins,3,6,-139,+122,10 Sep 2014 00:10,
Texas Rangers,Los Angeles Angels,3,9,+131,-149,10 Sep 2014 00:05,
Boston Red Sox,Baltimore Orioles,1,4,+114,-130,09 Sep 2014 23:10,
Cincinnati Reds,St.Louis Cardinals,9,5,+121,-135,09 Sep 2014 23:10,
New York Mets,Colorado Rockies,2,0,-182,+159,09 Sep 2014 23:10,
Detroit Tigers,Kansas City Royals,4,2,-169,+150,09 Sep 2014 23:08,
Toronto Blue Jays,Chicago Cubs,9,2,-143,+127,09 Sep 2014 23:07,
Cleveland Indians,Minnesota Twins,3,4,-169,+150,09 Sep 2014 23:05,
New York Yankees,Tampa Bay Rays,3,4,-133,+118,09 Sep 2014 23:05,
Philadelphia Phillies,Pittsburgh Pirates,4,3,+123,-139,09 Sep 2014 23:05,
Washington Nationals,Atlanta Braves,6,4,-149,+133,09 Sep 2014 23:05,
Los Angeles Dodgers,San Diego Padres,9,4,-333,+281,09 Sep 2014 02:10,
Seattle Mariners,Houston Astros,4,1,-303,+257,09 Sep 2014 02:10,
Chicago White Sox,Oakland Athletics,5,4,+150,-169,09 Sep 2014 00:10,
Milwaukee Brewers,Miami Marlins,4,6,-185,+163,09 Sep 2014 00:10,
Boston Red Sox,Baltimore Orioles,0,4,-116,+100,08 Sep 2014 23:10,
